UNITID,E2011
100654,6388
100654,5295
100654,1093
100663,20647
100663,13004
100663,7643
100690,1062
100690,508
100690,554
100706,8976
100706,6984
100706,1992
100724,6517
100724,5548
100724,969
100751,33681
100751,27175
100751,6506
100760,3411
100760,3411
100812,4782
100812,4782
100830,7119
100830,5833
100830,1286
100858,26840
100858,21322
100858,5518
100937,1594
100937,1571
100937,23
101028,2525
101028,2525
101073,774
101073,774
101116,1353
101116,1248
101116,105
101143,4103
101143,4103
101161,6846
101161,6846
101189,3961
101189,3316
101189,645
101240,9949
101240,9949
101277,52
101277,52
101286,6992
101286,6992
101295,8505
101295,8505
101301,3385
101301,3385
101365,755
101365,755
101435,1315
101435,1315
101453,109
101453,73
101453,36
101462,2318
101462,2318
101471,1007
101471,1007
101480,11394
101480,9526
101480,1868
101499,1956
101499,1956
101505,14856
101505,14856
101514,17627
101514,17627
101541,336
101541,336
101569,7058
101569,7058
101587,6871
101587,2259
101587,4612
101602,2657
101602,2657
101648,494
101648,494
101675,1954
101675,1954
101693,1998
101693,1729
101693,269
101709,3474
101709,2779
101709,695
101736,6054
101736,6054
101879,8691
101879,7282
101879,1409
101897,4647
101897,4647
101912,2100
101912,2048
101912,52
101949,2171
101949,2171
101958,151
101958,151
101994,1074
101994,1074
102030,5906
102030,5906
102049,5190
102049,3118
102049,2072
102058,522
102058,479
102058,43
102067,9728
102067,9728
102076,3305
102076,3305
102094,17544
102094,13706
102094,3838
102234,1849
102234,1548
102234,301
102261,212
102261,212
102270,1145
102270,1145
102298,799
102298,799
102313,2642
102313,2642
102368,36806
102368,28121
102368,8685
102377,2985
102377,2511
102377,474
102395,1165
102395,243
102395,922
102429,6508
102429,6508
102553,28019
102553,26399
102553,1620
102580,80
102580,80
102614,15579
102614,14118
102614,1461
102632,6842
102632,6214
102632,628
102669,918
102669,653
102669,265
102711,1182
102711,1182
102845,3347
102845,3347
103361,2604
103361,2604
103501,482
103501,482
103644,8280
103644,8280
103723,1695
103723,1695
103732,157
103732,157
103741,295
103741,295
103778,1414
103778,2
103778,1412
103787,114
103787,114
103811,1673
103811,1673
103893,1611
103893,1611
103909,1671
103909,1671
103927,1264
103927,1264
103945,333
103945,333
103954,117
103954,117
103963,2769
103963,2769
104090,3032
104090,3032
104151,79274
104151,63101
104151,16173
104160,13344
104160,13344
104179,42779
104179,33005
104179,9774
104188,330
104188,330
104294,373
104294,373
104346,14646
104346,14646
104364,1383
104364,1383
104391,122
104391,122
104425,16192
104425,16192
104434,76
104434,76
104443,291
104443,291
104504,318
104504,318
104531,2754
104531,2754
104568,374
104568,374
104577,10426
104577,10426
104586,1846
104586,1791
104586,55
104665,32
104665,10
104665,22
104708,32962
104708,32962
104717,65509
104717,38583
104717,26926
104805,3411
104805,3411
104911,449
104911,449
104984,487
104984,487
105118,836
105118,836
105127,212
105127,212
105145,13266
105145,13266
105154,41836
105154,41836
105163,918
105163,918
105172,1361
105172,1361
105206,9558
105206,9558
105215,4455
105215,4455
105297,3121
105297,3121
105330,28561
105330,22253
105330,6308
105349,8054
105349,8054
105367,2653
105367,973
105367,1680
105428,21392
105428,21392
105482,205
105482,205
105516,8276
105516,5861
105516,2415
105525,56916
105525,56916
105534,2847
105534,2847
105543,1856
105543,1856
105589,1526
105589,1037
105589,489
105659,1077
105659,1077
105668,57746
105668,57746
105677,70
105677,70
105701,116
105701,116
105747,17702
105747,17702
105792,10186
105792,10186
105899,514
105899,514
105987,940
105987,940
106041,4352
106041,4352
106102,4961
106102,3798
106102,1163
106111,385
106111,385
